date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1999-11,1999,11,nino_34,Nino 3.4,210,0,-1.183,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-11,1999,11,eastern_pacific,Eastern Pacific,250,0,-1.330,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-12,1999,12,western_pacific,Western Pacific,145,0,0.137,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-12,1999,12,central_pacific,Central Pacific,190,0,-0.810,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-12,1999,12,nino_34,Nino 3.4,210,0,-0.982,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-12,1999,12,eastern_pacific,Eastern Pacific,250,0,-1.151,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-01,2000,1,western_pacific,Western Pacific,145,0,0.074,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-01,2000,1,central_pacific,Central Pacific,190,0,-1.021,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-01,2000,1,nino_34,Nino 3.4,210,0,-1.496,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-01,2000,1,eastern_pacific,Eastern Pacific,250,0,-1.024,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-02,2000,2,western_pacific,Western Pacific,145,0,-0.046,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-02,2000,2,central_pacific,Central Pacific,190,0,-1.244,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-02,2000,2,nino_34,Nino 3.4,210,0,-1.138,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-02,2000,2,eastern_pacific,Eastern Pacific,250,0,-0.494,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-03,2000,3,western_pacific,Western Pacific,145,0,-0.024,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-03,2000,3,central_pacific,Central Pacific,190,0,-1.003,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
2000-03,2000,3,nino_34,Nino 3.4,210,0,-0.531,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
